country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","21-02-2026 10:00:00",26.428282,80.327067,NH3,5,5,5
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","21-02-2026 10:00:00",26.509954,80.249612,PM2.5,32,89,61
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","21-02-2026 10:00:00",26.509954,80.249612,PM10,46,115,84
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","21-02-2026 10:00:00",26.509954,80.249612,CO,29,46,38
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB","21-02-2026 10:00:00",26.4703136,80.3229863,PM2.5,30,205,70
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","21-02-2026 10:00:00",28.2348927,77.8683002,PM2.5,40,180,89
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","21-02-2026 10:00:00",28.2348927,77.8683002,NH3,1,1,1
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","21-02-2026 10:00:00",28.2348927,77.8683002,SO2,13,14,14
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","21-02-2026 10:00:00",28.2348927,77.8683002,CO,13,48,38
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","21-02-2026 10:00:00",28.964949,77.278761,NO2,17,49,28
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","21-02-2026 10:00:00",28.964949,77.278761,SO2,17,68,30
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB","21-02-2026 10:00:00",28.359581,79.414455,OZONE,14,25,18
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB","21-02-2026 10:00:00",28.38910936,79.42963708,PM10,33,91,69
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB","21-02-2026 10:00:00",28.38910936,79.42963708,NH3,1,1,1
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB","21-02-2026 10:00:00",28.38910936,79.42963708,SO2,37,39,38
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","21-02-2026 10:00:00",28.406963,77.849831,NH3,11,14,12
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","21-02-2026 10:00:00",28.406963,77.849831,SO2,7,45,19
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB","21-02-2026 10:00:00",26.8458805,80.9365541,OZONE,15,42,21
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB","21-02-2026 10:00:00",26.83399722,80.8917361,NH3,7,9,8
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB","21-02-2026 10:00:00",28.999264,77.7590354,CO,49,86,73
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB","21-02-2026 10:00:00",28.9535882,77.7622941,CO,40,100,73
